id,dayStart,dayEnd,reachImps,targetSegment,videoCoef,mobileCoef,adxCost,targetedImps,untargetedImps,budget,revenue,profitEstimate,cmpBid,impressionTarget,uncorrectedProfitEstimate,costEstimate,estImpCost,estUcsCost,qualityChange,estQualityChange,ucsCost,estCostAcc,estProfitAcc,uncorrectedProffitAcc,estQualityChangeAcc,impTargetFulfillment,bidVs2ndRatio,profit,profitPerImpression,reachFulfillment,estUcsCostAcc
2142240,32,34,2982,[HIGH_INCOME],2.95365859246926,2.1608956446621015,0.04918541434782399,2983.498388202029,0.0,0.778,0.7782304751431138,2.6142004598203035,0.6348170588003949,5188,-4.187377842789732,5.119199999999999,5.119199999999999,4.669199999999999,0.44999999999999996,-0.13767965688764527,0.18055368246687276,0.05745362533687934,94.93058179770257,3.5857872172792216,-5.7436475026960165,-1.3114042157601773,0.5750767903242153,0.8912321733191259,0.7290450607952899,2.4435912674805913E-4,1.0005024775996074,7.832403914660301
8099578,33,35,5647,[YOUNG- MALE],2.7055691823825643,2.0438775451593645,5.931843000651531,10866.388864955046,0.0,2.567,3.29445108556718,3.061013877639286,2.0327013395257993,8244,-4.836613165807819,7.869599999999999,7.869599999999999,7.419599999999999,0.44999999999999996,0.11468517383546661,0.045484198615267424,0.10323376346200402,1.2508085596980667,-1.1606215443871135,1.8338621340822343,0.39660051159290605,1.318096659989695,0.9557217681109911,-2.637391915084351,-2.4271098226478404E-4,1.9242764060483524,4.359038989851667
8224319,8,12,4196,[LOW_INCOME- OLD],2.6315624035351215,1.9905309678327168,0.42288141532231716,8398.47843814014,0.0,3.232,4.167617352792166,9.626030957147695,0.7319873311825803,8308,-2.904952272206404,6.981,6.981,6.231,0.75,-0.11230736140561415,0.056776124532643246,0.14672531334576572,14.73462718916313,2.5705499981532944,-0.7757428883407866,-0.5055423244037239,1.0108905197568778,0.21902132972617405,3.744735937469849,4.4588266375297477E-4,2.001543955705467,5.111592423269096
5459798,20,29,9900,[FEMALE- YOUNG- LOW_INCOME],2.5594880664454713,1.9777499202682312,0.05307327151438942,5454.026530100943,0.0,5.373,1.4774761080334613,5.770568933220404,3.7193776292147067,15840,-5.489533902170438,12.059999999999997,12.059999999999997,10.559999999999997,1.4999999999999998,-0.2932470126398691,0.3416974511821903,0.2681178354926681,198.97021040312035,4.051219771032195,-3.853919524328984,-1.1652205698743887,0.34431985669829185,0.3256845444644476,1.424402836519072,2.611653662954788E-4,0.5509117707172669,5.59455508524355
8334774,1,5,9540,[YOUNG- LOW_INCOME],2.7469282169200855,1.5885506244908867,1.7480820781401876,19083.34982799884,0.0,9.54,12.3009011541841,0.0,0.0,9540,0.0,0.0,0.0,0.0,0.0,0.1736432191276034,0.0,0.19648803524896913,0.0,0.0,0.0,0.0,2.000351135010361,0.0,10.552819076043912,5.529856744836775E-4,2.000351135010361,0.0
8512397,3,12,814,[HIGH_INCOME- FEMALE- OLD],2.1263443958709933,1.8790368419953463,0.09407235190508278,44.94900755178722,0.0,0.094,0.0010325166938421608,NaN,0.0824,1611,-2.669831073110416,2.5739999999999994,2.5739999999999994,1.0739999999999996,1.4999999999999998,0.0,0.17175809118598062,0.408804089141109,11.416744433940009,NaN,28.695569667000655,Infinity,0.027901308225814537,0.847722200766935,-0.09303983521124062,-0.002069897429972094,0.055219910997281595,3.6692392269154555
16198137,45,47,8714,[LOW_INCOME- MALE],2.60965490140412,1.6998415142420134,0.3889802123055006,17429.151789807303,0.0,1.894,2.4421004443037595,3.6140030698560768,1.894410525439406,9933,-7.4384424390953665,9.388799999999998,9.388799999999998,8.938799999999999,0.44999999999999996,0.5488754818368723,0.0128536355738329,0.10734897090623208,22.980089262174516,1.7602491142657748,-3.622994076608795,0.02341812669572485,1.7546714778825434,0.9236722458596529,2.0531202319982587,1.1779805791805304E-4,2.000132176934508,4.1919358537034235
23919032,41,50,4040,[HIGH_INCOME- MALE- OLD],2.2130706570764973,1.9570567146423075,0.022994035645599143,2709.031212097638,0.0,1.757,0.7948914200107263,1.6441031661688459,1.5747629812215482,5656,-3.199544010718949,5.267999999999999,5.267999999999999,3.767999999999999,1.4999999999999998,-0.2826265627978074,-0.032999173419199446,0.5759248559464957,163.86858131713652,2.129950430549902,-4.14503802646063,0.11675892418791235,0.47896591444441977,0.5743766656941915,0.7718973843651272,2.8493484346658264E-4,0.6705522802221877,2.604506446478761
9351579,15,17,3246,[OLD],2.289349661244665,2.1055528432866666,0.10462777033704806,6494.336305792383,0.0,3.077,3.9675609689475126,3.660664950145642,1.1311391561395896,6427,-2.3654681840904814,6.2334,6.2334,5.783399999999999,0.44999999999999996,0.47544221732598574,0.19154442737920574,0.08453835746910356,55.275955717773066,0.947638688513283,-0.6123502692051118,0.40287635468407257,1.010477097524877,0.3574911838307251,3.8629331986104645,5.948157004380977E-4,2.0007197491658606,5.323027480921457
15521974,36,45,6184,[HIGH_INCOME- YOUNG],2.37404322212996,2.26604271583229,0.0965850251965533,2502.910497125625,0.0,2.713,0.39307193202447627,2.467941433464443,2.3972378621961936,8657,-4.068120244271425,7.266,7.266,5.766,1.4999999999999998,-0.6348782662750565,0.06561342106205248,0.18578567167707258,59.69869540610487,8.323947454775139,-13.721078909675116,-0.10334803465082852,0.2891198448799382,0.5020974262846751,0.29648690682792295,1.1845685539631256E-4,0.4047397311005215,8.073819614072594
27348669,27,31,663,[HIGH_INCOME- FEMALE],2.3990344048012764,1.6334843043372054,0.7187735260303907,1123.5797877985137,0.0,0.355,0.4471397675019593,0.9027578957970666,0.11254520871451297,1312,-1.3257564571268503,1.734,1.734,0.9839999999999999,0.75,0.17867174469969105,0.4151226544419101,0.13464640511974507,1.368998668376658,-3.3234377813999747,4.880676335331441,2.3233816580212077,0.8563870333830135,0.3615856931309024,-0.2716337585284314,-2.4175742700094052E-4,1.6946904793341082,5.570144998175054
17964494,39,43,773,[HIGH_INCOME- YOUNG],2.6508837185151517,1.7313375283604322,0.05861425302607582,1547.538989091258,0.0,0.304,0.39200053481602926,0.813344539705634,0.3040769832467427,1530,-1.5279924151636657,1.896,1.896,1.146,0.75,0.3238201583355905,0.047618070172516846,0.08846329480704407,19.55155855164062,2.4396460926309897,-4.5832492175738695,0.1470509755083497,1.0114633915629136,1.0739189996431733,0.33338628178995344,2.1542997245305187E-4,2.0019909302603596,8.478092542629101
19397179,53,57,4381,[FEMALE- LOW_INCOME],2.0566236613420874,1.8794800528953677,0.15672112611009895,8765.57080743631,0.0,0.684,0.0,1.4693717025156792,0.6846280918053191,4205,-3.313442543092148,3.9029999999999996,3.9029999999999996,3.1529999999999996,0.75,0.0,0.17467968603112471,0.4500376217140095,0.0,0.0,0.0,0.0,0.0,0.6414339846784063,0.0,0.0,0.0,0.0
508312,23,27,9412,[YOUNG- MALE],2.775240143539598,2.064612805632945,0.1787839525195074,8468.810825560271,0.0,6.566,5.755120673364616,3.8488680362466803,3.6391029373463617,15247,-4.1176472691369685,12.183,12.183,11.433,0.75,0.16935193592106834,0.13699022996474786,0.13687734166394785,63.94869247983835,0.6902144237199819,-0.7384143883823657,0.8089085561360004,0.5554411245202513,0.42328529755992217,5.576336720845109,6.584556953397522E-4,0.8997886554993914,5.47935831367437
14225848,24,33,3976,[HIGH_INCOME],2.607330554714024,2.425149780830609,1.0347418597895757,7959.441490152467,0.0,3.086,3.9794282321250662,1.570776896707064,1.5897382404350386,7395,-2.534839756563425,6.426,6.426,4.926,1.4999999999999998,0.08938377311944024,0.4088344471643578,0.2259607690990574,4.760607636963433,0.5334275702377259,-0.860818245493829,4.573922457021896,1.0763274496487447,0.6335921753848024,2.9446863723354904,3.699614320902664E-4,2.0018716021510228,6.638320474747654
16801444,38,42,8944,[FEMALE- YOUNG],2.588143123828499,1.7493035889742852,0.07812492161545458,5788.307469599339,0.0,3.652,1.504260800273539,2.8204517029045695,3.548160317033389,11627,-5.298650939408002,9.468,9.468,8.718,0.75,-0.5068033148472172,-0.02169615482599263,0.09469212211419005,111.59051196123589,1.9776879223867923,-3.7153899699892143,0.042809812387539795,0.49783327338086686,0.7285066411110542,1.4261358786580844,2.463821913656567E-4,0.6471721231662946,7.920405449310435
16139474,42,44,3529,[YOUNG- MALE],2.3198385510669297,1.6779831321261813,0.1608643445797714,7059.988216962693,0.0,1.573,2.02822670741069,1.6882853356790362,1.3691542266043752,5222,-3.285525717187107,5.1498,5.1498,4.6998,0.44999999999999996,0.12946442435830585,-0.021512675513171597,0.05299377370197521,29.21592110593162,0.9041016190985011,-1.7594473266593285,-0.16616669498049208,1.3519701679361724,1.0471997772393922,1.8673623628309186,2.644993596935895E-4,2.000563393868714,8.491563603881023
4933102,14,18,2652,[HIGH_INCOME- FEMALE],2.3928595372495556,2.2203812960690334,0.02596098002295146,1810.6436718663701,0.0,1.968,0.9330041431947944,2.4994941478957853,0.9044254005039234,5250,-2.2106588564420058,4.686,4.686,3.9359999999999995,0.75,-0.29876261476027843,0.19153026721812583,0.12576209769664098,151.6121501006618,2.755650722458779,-2.4372146180029004,-0.641078427338729,0.3448845089269276,0.30961344159758075,0.907043163171843,5.009506714465158E-4,0.682746482604212,5.963640983542786
